acct_id,num_tx,avg_amount,std_amount,min_amount,max_amount,total_sent,first_step,last_step,num_unique_recipients,amount_cv,active_steps,tx_velocity,recipient_diversity,num_received,total_received,avg_received,num_unique_senders,is_sar
0,187.0,535.2096791443851,263.15334305939825,6.79,998.89,100084.21,1.0,31.0,3.0,0.49168270550557397,31.0,6.032258062570239,0.0160427807478052,6.0,3438.24,573.04,2.0,0
1,206.0,536.6140291262136,244.4345137275993,109.16,990.15,110542.49,1.0,31.0,10.0,0.45551271576157815,31.0,6.64516128817898,0.04854368931803186,145.0,85398.39,588.9544137931034,13.0,0
2,103.0,583.0296116504854,256.70381779481966,105.5,992.15,60052.05,1.0,31.0,7.0,0.4402929330874287,31.0,3.32258064408949,0.06796116504194552,108.0,59700.41,552.7815740740741,15.0,0
3,205.0,556.049268292683,253.25289352420742,111.68,994.11,113990.1,1.0,31.0,44.0,0.455450457289965,31.0,6.612903223673257,0.21463414633099345,586.0,335874.05,573.1639078498293,35.0,0
4,205.0,565.2213658536585,242.38486335660437,109.11,995.61,115870.38,1.0,31.0,46.0,0.4288317427389536,31.0,6.612903223673257,0.22439024389149315,558.0,312334.64,559.7394982078853,32.0,0
5,206.0,558.2223786407767,262.0980249237842,108.57,998.82,114993.81,1.0,31.0,43.0,0.4695226041587136,31.0,6.64516128817898,0.208737864067537,373.0,201777.98,540.9597319034852,30.0,0
6,205.0,540.0709756097561,255.66656428473613,107.67,999.06,110714.55,1.0,31.0,61.0,0.4733943793060663,31.0,6.612903223673257,0.2975609755952409,519.0,287313.1,553.5897880539499,49.0,0
7,206.0,547.9554854368932,267.63734466261593,100.16,998.9,112878.83,1.0,31.0,67.0,0.4884289906220034,31.0,6.64516128817898,0.3252427184308134,902.0,480486.81,532.6904767184036,51.0,0
8,206.0,571.3574757281554,271.8657919805408,101.56,997.13,117699.64,1.0,31.0,59.0,0.4758243368204967,31.0,6.64516128817898,0.286407766976388,1048.0,559055.71,533.450104961832,49.0,1
9,206.0,518.1822815533981,262.0515338894117,103.02,999.53,106745.55,1.0,31.0,67.0,0.5057130342218203,31.0,6.64516128817898,0.3252427184308134,831.0,435706.12,524.3154271961492,49.0,1
10,205.0,502.17970731707317,247.59110057756118,108.06,991.42,102946.84,1.0,31.0,71.0,0.4930328664521351,31.0,6.612903223673257,0.3463414633977394,1392.0,750183.37,538.9248347701149,63.0,0
11,206.0,554.269854368932,250.14430043570158,100.87,994.27,114179.59,1.0,31.0,75.0,0.45130417694462593,31.0,6.64516128817898,0.36407766988523893,1806.0,952558.71,527.4411461794019,70.0,0
12,205.0,575.8286829268293,247.5352734395367,101.16,984.06,118044.88,1.0,31.0,72.0,0.4298765948529388,31.0,6.612903223673257,0.3512195121779893,1470.0,796631.14,541.9259455782313,71.0,0
13,206.0,566.271213592233,261.1629032017448,103.11,998.71,116651.87,1.0,31.0,72.0,0.46119756210174223,31.0,6.64516128817898,0.34951456308982937,1451.0,776786.56,535.3456650585804,69.0,0
14,206.0,536.2660194174757,254.58410985931184,104.87,999.64,110470.8,1.0,31.0,69.0,0.4747347410360049,31.0,6.64516128817898,0.3349514562944198,1445.0,785811.88,543.8144498269896,73.0,0
15,206.0,568.5710194174758,255.16948585143837,109.46,987.16,117125.63,1.0,31.0,101.0,0.4487908759549194,31.0,6.64516128817898,0.49029126211212176,1663.0,886111.27,532.8390078171979,77.0,0
16,206.0,545.3549029126214,241.25741263019248,110.22,999.32,112343.11,1.0,31.0,99.0,0.4423860706803322,31.0,6.64516128817898,0.4805825242485154,1285.0,704065.29,547.9107315175097,77.0,0
17,206.0,568.7685436893204,276.95041022310625,106.4,999.8,117166.32,1.0,31.0,99.0,0.48692990020474153,31.0,6.64516128817898,0.4805825242485154,1634.0,885255.13,541.771805385557,84.0,0
18,206.0,544.6279611650485,262.43122473483015,104.97,997.68,112193.36,1.0,31.0,102.0,0.48185411591543736,31.0,6.64516128817898,0.49514563104392495,2030.0,1092878.05,538.3635714285715,76.0,0
19,206.0,555.8470388349515,260.07307464928056,105.19,995.16,114504.49,1.0,31.0,103.0,0.46788604863257277,31.0,6.64516128817898,0.49999999997572814,1917.0,1044572.41,544.899535732916,81.0,0
20,206.0,562.3900970873786,265.52766693931244,100.58,998.55,115852.36,1.0,31.0,101.0,0.472141434050422,31.0,6.64516128817898,0.49029126211212176,1478.0,798731.07,540.4134438430311,78.0,0
21,206.0,556.8045145631067,266.8314620084522,100.96,998.45,114701.73,1.0,31.0,99.0,0.4792192861672964,31.0,6.64516128817898,0.4805825242485154,1380.0,747136.91,541.4035579710145,72.0,0
22,206.0,516.3961650485437,263.8454987878081,101.16,986.79,106377.61,1.0,31.0,86.0,0.5109362087495285,31.0,6.64516128817898,0.417475728135074,1294.0,704072.05,544.105139103555,76.0,0
23,206.0,537.6959708737863,245.09877281793493,104.29,997.76,110765.37,1.0,31.0,79.0,0.4558315220682745,31.0,6.64516128817898,0.3834951456124517,1510.0,818841.48,542.2791258278146,71.0,0
24,207.0,563.7113043478261,254.1227642029625,101.61,989.54,116688.24,1.0,31.0,94.0,0.4508030302717744,31.0,6.677419352684703,0.45410628017129917,1898.0,1020809.85,537.8344836670179,82.0,1
25,205.0,511.0421951219512,272.1690598376364,100.62,998.63,104763.65,1.0,31.0,103.0,0.5325764925680203,31.0,6.612903223673257,0.5024390243657346,1787.0,982614.05,549.8679630665921,84.0,0
26,205.0,573.8996097560976,260.3986467839374,102.19,990.39,117649.42,1.0,31.0,89.0,0.4537355355409063,31.0,6.612903223673257,0.43414634144223674,1766.0,977324.26,553.4112457531144,81.0,0
27,206.0,534.5138349514564,265.9411939368147,103.32,994.74,110109.85,1.0,31.0,81.0,0.49753846681254127,31.0,6.64516128817898,0.39320388347605806,1588.0,876558.87,551.9892128463476,80.0,0
28,206.0,527.5445631067962,254.69505235516147,101.26,998.94,108674.18000000001,1.0,31.0,78.0,0.482793436160905,31.0,6.64516128817898,0.3786407766806485,1347.0,728125.21,540.5532368225687,64.0,0
29,206.0,554.4800485436893,261.8057097823342,102.92,997.44,114222.89,1.0,31.0,84.0,0.47216434651748157,31.0,6.64516128817898,0.4077669902714676,1519.0,802773.84,528.4883739302172,69.0,0
30,206.0,544.9043689320389,255.76416155311063,106.17,996.42,112250.3,1.0,31.0,84.0,0.4693744005937968,31.0,6.64516128817898,0.4077669902714676,1785.0,962082.37,538.9817198879551,78.0,0
31,206.0,532.3102427184466,267.3563300047323,100.81,997.15,109655.91,1.0,31.0,86.0,0.5022565950156285,31.0,6.64516128817898,0.417475728135074,986.0,543344.29,551.0591176470589,68.0,0
32,206.0,551.7100970873786,265.9677563806125,101.06,999.2,113652.28,1.0,31.0,82.0,0.48207882686922865,31.0,6.64516128817898,0.39805825240786125,1686.0,917772.96,544.3493238434163,77.0,0
33,205.0,557.7290731707318,264.6302849345269,106.24,999.56,114334.46,1.0,31.0,81.0,0.47447819677991504,31.0,6.612903223673257,0.39512195120023796,1703.0,929707.08,545.9231238990018,74.0,0
34,206.0,562.1342233009708,263.7935656367399,106.97,998.06,115799.65,1.0,31.0,89.0,0.46927149192766754,31.0,6.64516128817898,0.43203883493048356,1269.0,697636.09,549.7526319936958,77.0,0
35,206.0,567.9140776699029,269.4654673796269,100.38,999.47,116990.3,1.0,31.0,81.0,0.47448280993574427,31.0,6.64516128817898,0.39320388347605806,1316.0,705625.72,536.1897568389057,77.0,0
36,206.0,549.6076699029126,259.21812552819114,101.66,991.71,113219.18,1.0,31.0,68.0,0.4716421180389736,31.0,6.64516128817898,0.3300970873626166,990.0,538935.4,544.379191919192,54.0,0
37,205.0,546.4266829268292,258.70410630172535,101.16,996.21,112017.47,1.0,31.0,68.0,0.4734470595602912,31.0,6.612903223673257,0.33170731705698986,693.0,376615.13,543.4561760461761,46.0,0
38,206.0,577.6258252427184,254.8118812542698,102.44,996.32,118990.92,1.0,31.0,70.0,0.4411365803161354,31.0,6.64516128817898,0.339805825226223,1248.0,679246.95,544.2683894230769,60.0,1
39,206.0,600.2872815533981,256.79521177890757,106.0,999.81,123659.18000000001,1.0,31.0,67.0,0.42778719400835197,31.0,6.64516128817898,0.3252427184308134,1168.0,634974.6,543.6426369863013,49.0,0
40,206.0,586.1650970873786,258.01502536648627,100.02,998.86,120750.01,1.0,31.0,68.0,0.44017466519952597,31.0,6.64516128817898,0.3300970873626166,2067.0,1103396.47,533.8154184808901,59.0,0
41,206.0,563.5740776699029,250.57621569703622,114.03,989.3,116096.26,1.0,31.0,74.0,0.4446198390255943,31.0,6.64516128817898,0.35922330095343574,1183.0,648940.47,548.5549196956889,57.0,0
42,204.0,548.2851960784313,273.8862454591057,101.36,995.08,111850.18,1.0,31.0,67.0,0.4995324466410203,31.0,6.580645159167534,0.32843137253292004,1329.0,723299.71,544.2435741158765,55.0,0
43,205.0,538.5144390243903,257.65243086508747,102.2,998.16,110395.46,1.0,31.0,70.0,0.4784503667665509,31.0,6.612903223673257,0.3414634146174896,1079.0,583587.64,540.8597219647822,54.0,0
44,206.0,553.9457766990291,266.5584635220713,108.78,997.81,114112.83,1.0,31.0,69.0,0.48119955910790585,31.0,6.64516128817898,0.3349514562944198,836.0,438692.86,524.7522248803828,47.0,0
45,206.0,562.8793203883495,260.96044609083225,105.52,998.47,115953.14,1.0,31.0,49.0,0.4636170430033753,31.0,6.64516128817898,0.2378640776583561,567.0,314325.59,554.3661199294534,38.0,0
46,204.0,566.0171568627451,263.8437647114263,100.14,999.69,115467.5,1.0,31.0,48.0,0.4661409314324813,31.0,6.580645159167534,0.2352941176355248,634.0,342371.32,540.0178548895899,40.0,0
47,205.0,542.2206341463415,257.42643859048394,102.48,997.66,111155.23,1.0,31.0,46.0,0.47476326494107335,31.0,6.612903223673257,0.22439024389149315,550.0,304430.55,553.5100909090909,34.0,0
48,205.0,536.9951219512195,256.3225650207821,111.77,991.36,110084.0,1.0,31.0,47.0,0.47732754831112434,31.0,6.612903223673257,0.229268292671743,465.0,242415.02,521.322623655914,36.0,0
49,206.0,535.9260194174757,252.731799262997,100.81,987.5,110400.76,1.0,31.0,43.0,0.471579639915576,31.0,6.64516128817898,0.208737864067537,690.0,371033.14,537.7291884057971,45.0,1
50,206.0,533.0454854368932,264.857727965287,104.31,998.3,109807.37,1.0,31.0,49.0,0.4968764114815386,31.0,6.64516128817898,0.2378640776583561,760.0,406644.83,535.0589868421052,44.0,0
